spanish,english,domain,collocations
la deuda,debt,money,saldar la deuda; refinanciar la deuda; contraer la deuda; reducir la deuda
el balance,balance sheet,money,presentar el balance; auditar el balance; cerrar el balance; analizar el balance
la gestión,management,admin,optimizar la gestión; externalizar la gestión; mejorar la gestión; supervisar la gestión
la expansión,expansion,money,planificar la expansión; financiar la expansión; acelerar la expansión; frenar la expansión
el nicho,niche,money,identificar un nicho; ocupar un nicho; explotar un nicho; crear un nicho
el lanzamiento,launch,money,programar el lanzamiento; retrasar el lanzamiento; preparar el lanzamiento; gestionar el lanzamiento
la marca,brand,money,posicionar la marca; proteger la marca; registrar la marca; fortalecer la marca
la instalación,installation,repairs,revisar la instalación; mejorar la instalación; realizar la instalación; certificar la instalación
la cuantía,amount/sum,money,determinar la cuantía; elevar la cuantía; reducir la cuantía; cubrir la cuantía
el desglose,breakdown/itemization,admin,solicitar el desglose; revisar el desglose; detallar el desglose; ocultar el desglose
la diligencia,diligence/care,legal,actuar con diligencia; mostrar diligencia; carecer de diligencia; exigir diligencia
la sucursal,branch/office,work,abrir una sucursal; cerrar una sucursal; gestionar una sucursal; visitar una sucursal
el contratiempo,setback,work,surgir un contratiempo; evitar un contratiempo; superar un contratiempo; prever un contratiempo
el convenio,agreement/covenant,legal,firmar un convenio; incumplir un convenio; ratificar un convenio; negociar un convenio
la retribución,remuneration/pay,money,percibir una retribución; aumentar la retribución; ajustar la retribución; fijar una retribución
el suministro,supply/provision,work,garantizar el suministro; cortar el suministro; gestionar el suministro; restablecer el suministro
el resguardo,receipt/proof,admin,presentar el resguardo; conservar el resguardo; perder el resguardo; exigir el resguardo
el hallazgo,discovery/finding,education,hacer un hallazgo; publicar un hallazgo; confirmar un hallazgo; respaldar un hallazgo
la premisa,premise/assumption,education,partir de una premisa; cuestionar la premisa; establecer la premisa; demostrar la premisa
el sesgo,bias,education,evitar el sesgo; analizar el sesgo; corregir el sesgo; identificar el sesgo
la metodología,methodology,education,desarrollar la metodología; aplicar la metodología; revisar la metodología; seguir la metodología
la ponencia,presentation/lecture,education,dar una ponencia; asistir a una ponencia; preparar una ponencia; moderar una ponencia
el posgrado,postgraduate studies,education,cursar un posgrado; terminar un posgrado; financiar un posgrado; elegir un posgrado
la beca,scholarship/grant,education,solicitar una beca; conceder una beca; obtener una beca; perder una beca
el campus,campus,education,visitar el campus; ampliar el campus; vivir en el campus; recorrer el campus
la tutoría,tutoring/office hours,education,solicitar una tutoría; acudir a una tutoría; programar una tutoría; aprovechar la tutoría
el plan de estudios,curriculum/syllabus,education,diseñar el plan de estudios; modificar el plan de estudios; seguir el plan de estudios; aprobar el plan de estudios
la nube,cloud (storage),tech,almacenar en la nube; subir a la nube; sincronizar con la nube; acceder a la nube
la ciberseguridad,cybersecurity,tech,reforzar la ciberseguridad; mejorar la ciberseguridad; auditar la ciberseguridad; garantizar la ciberseguridad
la plataforma,platform,tech,lanzar una plataforma; integrar una plataforma; alojar en una plataforma; usar una plataforma
el código fuente,source code,tech,escribir el código fuente; compilar el código fuente; depurar el código fuente; proteger el código fuente
el titular,headline,media,leer el titular; redactar el titular; cambiar el titular; destacar el titular
la fuente,source (news),media,citar la fuente; verificar la fuente; proteger la fuente; revelar la fuente
el reportaje,report/feature,media,emitir un reportaje; publicar un reportaje; realizar un reportaje; censurar un reportaje
el sesgo mediático,media bias,media,denunciar el sesgo mediático; criticar el sesgo mediático; evitar el sesgo mediático
la audiencia,audience,media,captar la audiencia; perder audiencia; medir la audiencia; dirigirse a la audiencia
la veracidad,truthfulness/veracity,media,comprobar la veracidad; cuestionar la veracidad; garantizar la veracidad; confirmar la veracidad
la línea editorial,editorial policy,media,seguir la línea editorial; defender la línea editorial; marcar la línea editorial; cuestionar la línea editorial
la exclusiva,exclusive scoop,media,publicar una exclusiva; conseguir una exclusiva; preparar una exclusiva; vender una exclusiva
el debate,debate,media,organizar un debate; moderar un debate; participar en un debate; seguir un debate
la diversidad,diversity,culture,fomentar la diversidad; celebrar la diversidad; promover la diversidad; defender la diversidad
el patrimonio,heritage,culture,proteger el patrimonio; restaurar el patrimonio; conservar el patrimonio; valorar el patrimonio
la vanguardia,avant-garde,culture,estar a la vanguardia; liderar la vanguardia; representar la vanguardia; explorar la vanguardia
la costumbre,custom/tradition,culture,adoptar una costumbre; perder una costumbre; respetar una costumbre; seguir una costumbre
la identidad,identity,culture,forjar la identidad; defender la identidad; expresar la identidad; cuestionar la identidad
la integración,integration,culture,favorecer la integración; promover la integración; facilitar la integración; lograr la integración
el legado,legacy,culture,dejar un legado; preservar el legado; honrar el legado; continuar el legado
la influencia,influence,culture,ejercer influencia; perder influencia; aumentar la influencia; reconocer la influencia
la transgresión,transgression,culture,cometer una transgresión; evitar la transgresión; justificar la transgresión; señalar la transgresión
el síntoma,symptom,health,aliviar el síntoma; tratar el síntoma; detectar el síntoma; ignorar el síntoma
el diagnóstico,diagnosis,health,confirmar el diagnóstico; retrasar el diagnóstico; recibir un diagnóstico; cuestionar el diagnóstico
la medicación,medication,health,tomar la medicación; ajustar la medicación; interrumpir la medicación; recetar la medicación
la rehabilitación,rehabilitation,health,completar la rehabilitación; iniciar la rehabilitación; financiar la rehabilitación; seguir la rehabilitación
el bienestar,well-being,health,promover el bienestar; cuidar el bienestar; priorizar el bienestar; mejorar el bienestar
la consulta,doctor's appointment,health,solicitar una consulta; acudir a una consulta; posponer una consulta; programar una consulta
el historial,medical history,health,revisar el historial; actualizar el historial; proteger el historial; consultar el historial
la patología,pathology,health,tratar la patología; diagnosticar la patología; investigar la patología; controlar la patología
la ansiedad,anxiety,emotion,gestionar la ansiedad; reducir la ansiedad; controlar la ansiedad; ocultar la ansiedad
la frustración,frustration,emotion,expresar la frustración; superar la frustración; evitar la frustración; sentir la frustración
la empatía,empathy,emotion,desarrollar la empatía; mostrar la empatía; fomentar la empatía; perder la empatía
la resiliencia,resilience,emotion,demostrar la resiliencia; fortalecer la resiliencia; fomentar la resiliencia; valorar la resiliencia
la euforia,euphoria,emotion,sentir la euforia; controlar la euforia; mostrar la euforia; evitar la euforia
el vínculo,bond/link,emotion,reforzar el vínculo; crear un vínculo; romper un vínculo; mantener un vínculo
la autoestima,self-esteem,emotion,mejorar la autoestima; fortalecer la autoestima; cuidar la autoestima; recuperar la autoestima
la apatía,apathy,emotion,superar la apatía; combatir la apatía; mostrar la apatía; evitar la apatía
el entusiasmo,enthusiasm,emotion,transmitir el entusiasmo; perder el entusiasmo; recuperar el entusiasmo; demostrar el entusiasmo
la incertidumbre,uncertainty,emotion,reducir la incertidumbre; afrontar la incertidumbre; evitar la incertidumbre; gestionar la incertidumbre
la convivencia,coexistence,community,mejorar la convivencia; fomentar la convivencia; facilitar la convivencia; arruinar la convivencia
la participación,participation,community,fomentar la participación; incentivar la participación; limitar la participación; valorar la participación
el voluntariado,volunteering,community,hacer voluntariado; organizar el voluntariado; fomentar el voluntariado; financiar el voluntariado
la iniciativa,initiative,community,lanzar una iniciativa; apoyar una iniciativa; bloquear una iniciativa; liderar una iniciativa
el espacio público,public space,community,limpiar el espacio público; recuperar el espacio público; utilizar el espacio público; proteger el espacio público
la colaboración,collaboration,community,fomentar la colaboración; buscar la colaboración; iniciar la colaboración; romper la colaboración
el compromiso,commitment,community,adquirir un compromiso; cumplir el compromiso; romper el compromiso; demostrar el compromiso
la jornada intensiva,full-time shift/compressed hours,work,cumplir la jornada intensiva; instaurar la jornada intensiva; trabajar en jornada intensiva
el teletrabajo,remote work,work,fomentar el teletrabajo; optar por el teletrabajo; regular el teletrabajo; adaptarse al teletrabajo
la brecha digital,digital divide,tech,reducir la brecha digital; cerrar la brecha digital; alertar sobre la brecha digital
la alfabetización mediática,media literacy,media,promover la alfabetización mediática; mejorar la alfabetización mediática; carecer de alfabetización mediática
el consenso,consensus,community,alcanzar el consenso; buscar el consenso; romper el consenso; facilitar el consenso
la huella ecológica,ecological footprint,environment,reducir la huella ecológica; medir la huella ecológica; compensar la huella ecológica
el sesgo cognitivo,cognitive bias,emotion,evitar el sesgo cognitivo; identificar el sesgo cognitivo; superar el sesgo cognitivo
la precariedad laboral,job insecurity,work,combatir la precariedad laboral; sufrir la precariedad laboral; denunciar la precariedad laboral
el almacenamiento,storage,tech,ampliar el almacenamiento; gestionar el almacenamiento; liberar espacio de almacenamiento
la convivencia ciudadana,civic coexistence,community,fomentar la convivencia ciudadana; mejorar la convivencia ciudadana; alterar la convivencia ciudadana
el gasto público,public spending,money,recortar el gasto público; supervisar el gasto público; aumentar el gasto público
el aula virtual,virtual classroom,education,acceder al aula virtual; gestionar el aula virtual; implementar el aula virtual
la propiedad intelectual,intellectual property,legal,proteger la propiedad intelectual; vulnerar la propiedad intelectual; defender la propiedad intelectual
el entorno digital,digital environment,tech,moverse en el entorno digital; dominar el entorno digital; proteger el entorno digital
la competencia desleal,unfair competition,money,denunciar la competencia desleal; evitar la competencia desleal; frenar la competencia desleal
la sobrecarga,overload,work,sufrir una sobrecarga; evitar la sobrecarga; gestionar la sobrecarga
la formación continua,continuous training,education,recibir formación continua; ofrecer formación continua; apostar por la formación continua
el trastorno,disorder,health,diagnosticar un trastorno; tratar un trastorno; padecer un trastorno
la normativa vigente,current regulations,admin,cumplir la normativa vigente; infringir la normativa vigente; aplicar la normativa vigente
el desarrollo sostenible,sustainable development,environment,promover el desarrollo sostenible; garantizar el desarrollo sostenible; avanzar hacia el desarrollo sostenible
la calidad de vida,quality of life,health,mejorar la calidad de vida; mantener la calidad de vida; priorizar la calidad de vida
el impacto ambiental,environmental impact,environment,evaluar el impacto ambiental; mitigar el impacto ambiental; reducir el impacto ambiental
la red social,social network,media,gestionar la red social; navegar por la red social; viralizar en la red social
la tasa de desempleo,unemployment rate,money,reducir la tasa de desempleo; analizar la tasa de desempleo; dispararse la tasa de desempleo
la clave del éxito,key to success,work,ser la clave del éxito; buscar la clave del éxito; entender la clave del éxito
el soporte técnico,technical support,tech,pedir soporte técnico; recibir soporte técnico; ofrecer soporte técnico
la crisis financiera,financial crisis,money,afrontar la crisis financiera; superar la crisis financiera; evitar la crisis financiera
el autocuidado,self-care,emotion,practicar el autocuidado; fomentar el autocuidado; descuidar el autocuidado
la inteligencia artificial,artificial intelligence,tech,desarrollar la inteligencia artificial; regular la inteligencia artificial; aplicar la inteligencia artificial
el plan de contingencia,contingency plan,admin,activar el plan de contingencia; diseñar el plan de contingencia; seguir el plan de contingencia
la conciliación familiar,work-life balance,work,favorecer la conciliación familiar; exigir la conciliación familiar; mejorar la conciliación familiar
el cambio climático,climate change,environment,frenar el cambio climático; combatir el cambio climático; alertar sobre el cambio climático
la seguridad jurídica,legal certainty,legal,garantizar la seguridad jurídica; reforzar la seguridad jurídica; carecer de seguridad jurídica
la opinión pública,public opinion,media,influir en la opinión pública; moldear la opinión pública; ignorar la opinión pública
el rendimiento académico,academic performance,education,mejorar el rendimiento académico; evaluar el rendimiento académico; destacar en el rendimiento académico
la infraestructura crítica,critical infrastructure,safety,proteger la infraestructura crítica; fallar la infraestructura crítica; mantener la infraestructura crítica
el flujo de información,information flow,media,controlar el flujo de información; facilitar el flujo de información; interrumpir el flujo de información
la salud mental,mental health,health,cuidar la salud mental; priorizar la salud mental; mejorar la salud mental
el mercado laboral,job market,work,acceder al mercado laboral; entrar en el mercado laboral; transformar el mercado laboral
la transición energética,energy transition,environment,acelerar la transición energética; liderar la transición energética; financiar la transición energética
la gestión de residuos,waste management,environment,optimizar la gestión de residuos; mejorar la gestión de residuos; supervisar la gestión de residuos
el derecho de admisión,right of admission,legal,ejercer el derecho de admisión; aplicar el derecho de admisión; reclamar el derecho de admisión
la brecha salarial,wage gap,money,reducir la brecha salarial; cerrar la brecha salarial; denunciar la brecha salarial
la alfabetización digital,digital literacy,tech,fomentar la alfabetización digital; adquirir alfabetización digital; carecer de alfabetización digital
el bienestar social,social welfare,community,promover el bienestar social; garantizar el bienestar social; fortalecer el bienestar social
la cultura organizacional,organizational culture,work,crear cultura organizacional; transformar la cultura organizacional; definir la cultura organizacional
la actualización de software,software update,tech,instalar la actualización de software; posponer la actualización de software; descargar la actualización de software
el servicio al cliente,customer service,money,mejorar el servicio al cliente; gestionar el servicio al cliente; valorar el servicio al cliente
la estrategia de mercado,market strategy,money,diseñar la estrategia de mercado; ejecutar la estrategia de mercado; cambiar la estrategia de mercado
el entorno familiar,family environment,family,crecer en el entorno familiar; proteger el entorno familiar; valorar el entorno familiar
la prevención de riesgos,risk prevention,safety,aplicar la prevención de riesgos; cumplir la prevención de riesgos; fortalecer la prevención de riesgos
la secuela,sequela/aftereffect,health,dejar secuelas; sufrir secuelas graves; tratar las secuelas; arrastrar secuelas
el esguince,sprain,health,sufrir un esguince; diagnosticar un esguince; vendar un esguince; curar un esguince
la dolencia,ailment/malady,health,tratar una dolencia; padecer una dolencia crónica; aliviar la dolencia; consultar una dolencia
el sedentarismo,sedentary lifestyle,health,combatir el sedentarismo; evitar el sedentarismo; fomentar el sedentarismo; reducir el sedentarismo
el fármaco,drug/medication,health,administrar un fármaco; recetar un fármaco; desarrollar un fármaco; probar un fármaco
la contractura,muscle contraction/knot,health,aliviar una contractura; liberar la contractura; tratar una contractura; prevenir una contractura
la rigidez,stiffness,health,sentir rigidez; combatir la rigidez; notar rigidez; disminuir la rigidez
la inflamación,inflammation,health,reducir la inflamación; tratar la inflamación; notar una inflamación; bajar la inflamación
la fatiga,fatigue,health,sentir fatiga; padecer fatiga; acumular fatiga; combatir la fatiga
el mareo,dizziness,health,sentir un mareo; sufrir mareos; provocar un mareo; disimular el mareo
el insomnio,insomnia,health,padecer insomnio; combatir el insomnio; sufrir insomnio; tratar el insomnio
la alergia,allergy,health,desarrollar una alergia; detectar una alergia; sufrir una alergia; controlar la alergia
la prescripción,prescription,health,seguir una prescripción; cumplir la prescripción; emitir una prescripción; modificar la prescripción
la precariedad,precariousness,work,combatir la precariedad; denunciar la precariedad; sufrir precariedad; reducir la precariedad
la estancia,stay,travel,prolongar la estancia; disfrutar la estancia; acortar la estancia; pagar la estancia
el itinerario,itinerary,travel,planificar el itinerario; seguir el itinerario; cambiar el itinerario; cumplir el itinerario
el transbordo,transfer,travel,realizar un transbordo; perder un transbordo; facilitar el transbordo; evitar el transbordo
la escala,layover,travel,hacer una escala; prolongar la escala; evitar una escala; organizar una escala
el embarque,boarding,travel,iniciar el embarque; cerrar el embarque; retrasar el embarque; confirmar el embarque
la aduana,customs,travel,pasar la aduana; cruzar la aduana; declarar en la aduana; evitar la aduana
el equipaje,luggage,travel,facturar el equipaje; perder el equipaje; recuperar el equipaje; registrar el equipaje
la pernoctación,overnight stay,travel,reservar una pernoctación; organizar una pernoctación; pagar la pernoctación; cancelar la pernoctación
la aptitud,aptitude/ability,education,demostrar aptitud; desarrollar la aptitud; evaluar la aptitud; poseer aptitud
la pauta,guideline/pattern,health,seguir la pauta; marcar la pauta; establecer una pauta; cambiar la pauta
el calambre,cramp,health,sufrir un calambre; aliviar el calambre; evitar el calambre; provocar un calambre
el alicatado,tiling,repairs,renovar el alicatado; picar el alicatado; colocar el alicatado; restaurar el alicatado
el rodapié,baseboard/skirting board,housing,instalar el rodapié; barnizar el rodapié; fijar el rodapié; cambiar el rodapié
la escayola,plaster/stucco,materials,moldear la escayola; reparar la escayola; alisar la escayola; aplicar escayola
el aislante,insulation,housing,instalar el aislante; reforzar el aislante; colocar el aislante; mejorar el aislante
la llave de paso,shut-off valve,utilities,cerrar la llave de paso; abrir la llave de paso; localizar la llave de paso; bloquear la llave de paso
el cableado,wiring,utilities,revisar el cableado; instalar el cableado; ocultar el cableado; renovar el cableado
la bisagra,hinge,repairs,engrasar la bisagra; ajustar la bisagra; cambiar la bisagra; apretar la bisagra
el taco,wall plug,repairs,colocar el taco; insertar el taco; perforar para el taco; comprar el taco
la arandela,washer,tools,colocar la arandela; ajustar la arandela; buscar la arandela; apretar la arandela
el nivel de burbuja,spirit level,tools,usar el nivel de burbuja; comprobar con el nivel de burbuja; colocar el nivel de burbuja
la broca,drill bit,tools,cambiar la broca; elegir la broca; romper la broca; afilar la broca
el disyuntor,circuit breaker,utilities,saltar el disyuntor; activar el disyuntor; revisar el disyuntor; instalar el disyuntor
la acometida,service connection,utilities,realizar la acometida; contratar la acometida; reparar la acometida
el falso techo,drop ceiling,housing,instalar el falso techo; desmontar el falso techo; reparar el falso techo
la silicona,silicone,materials,aplicar la silicona; sellar con silicona; quitar la silicona
el decapante,paint stripper,materials,aplicar el decapante; usar el decapante; eliminar con decapante
la llave inglesa,adjustable wrench,tools,usar la llave inglesa; apretar con la llave inglesa; perder la llave inglesa
el destornillador eléctrico,electric screwdriver,tools,cargar el destornillador eléctrico; usar el destornillador eléctrico; sujetar el destornillador eléctrico; cambiar la punta del destornillador eléctrico
el rodillo,paint roller,tools,cargar el rodillo; limpiar el rodillo; usar el rodillo
la espátula,putty knife,tools,usar la espátula; limpiar la espátula; manejar la espátula
la tubería,piping,utilities,reparar la tubería; atascar la tubería; cambiar la tubería; instalar la tubería
el sumidero,drain,utilities,limpiar el sumidero; desatascar el sumidero; instalar el sumidero
la pintura plástica,emulsion paint,materials,aplicar la pintura plástica; comprar la pintura plástica; extender la pintura plástica
el esmalte,enamel paint,materials,aplicar el esmalte; dejar secar el esmalte; lijar el esmalte
la imprimación,primer,materials,aplicar la imprimación; comprar la imprimación; dejar secar la imprimación
el sellador,sealant,materials,aplicar el sellador; comprar el sellador; usar el sellador
la alcayata,hook screw,tools,colocar la alcayata; colgar en la alcayata; comprar la alcayata
el perno,bolt,tools,apretar el perno; aflojar el perno; cambiar el perno
la tuerca,nut,tools,apretar la tuerca; aflojar la tuerca; perder la tuerca
la llave allen,allen key,tools,usar la llave allen; perder la llave allen; comprar la llave allen
el barniz de poliuretano,polyurethane varnish,materials,aplicar el barniz de poliuretano; comprar el barniz de poliuretano; extender el barniz de poliuretano; dejar secar el barniz de poliuretano
la brocha de cerdas,bristle brush,tools,limpiar la brocha de cerdas; usar la brocha de cerdas; mojar la brocha de cerdas; escurrir la brocha de cerdas
la sierra de calar,jigsaw,tools,usar la sierra de calar; manejar la sierra de calar; guiar la sierra de calar; cambiar la hoja de la sierra de calar
el papel de lija,sandpaper,materials,comprar el papel de lija; usar el papel de lija; cortar el papel de lija; lijar con el papel de lija
la cinta de carrocero,masking tape,materials,pegar la cinta de carrocero; quitar la cinta de carrocero; usar la cinta de carrocero
el adhesivo de montaje,construction adhesive,materials,aplicar el adhesivo de montaje; comprar el adhesivo de montaje; extender el adhesivo de montaje; pegar con el adhesivo de montaje
el aislante acústico,sound insulation,housing,instalar el aislante acústico; mejorar el aislante acústico; colocar el aislante acústico; reforzar el aislante acústico
la ventilación cruzada,cross ventilation,housing,aprovechar la ventilación cruzada; mejorar la ventilación cruzada; fomentar la ventilación cruzada; facilitar la ventilación cruzada
la claraboya,skylight,housing,limpiar la claraboya; instalar la claraboya; reparar la claraboya
el marco de la puerta,door frame,housing,pintar el marco de la puerta; reparar el marco de la puerta; lijar el marco de la puerta; ajustar el marco de la puerta
la persiana,shutter/blind,housing,subir la persiana; bajar la persiana; reparar la persiana; encallar la persiana
el pestillo,latch,repairs,cerrar el pestillo; abrir el pestillo; reparar el pestillo
la mirilla,peephole,housing,mirar por la mirilla; instalar la mirilla; cambiar la mirilla
el bombín,lock cylinder,repairs,cambiar el bombín; forzar el bombín; reparar el bombín
la llave maestra,master key,tools,usar la llave maestra; perder la llave maestra; guardar la llave maestra; duplicar la llave maestra
el cerrojo,deadbolt,repairs,echar el cerrojo; abrir el cerrojo; instalar el cerrojo
el cable coaxial,coaxial cable,utilities,conectar el cable coaxial; instalar el cable coaxial; guiar el cable coaxial; cortar el cable coaxial
el router,router,tech,reiniciar el router; configurar el router; instalar el router
la toma de tierra,grounding,utilities,revisar la toma de tierra; instalar la toma de tierra; conectar a la toma de tierra; verificar la toma de tierra
la caja de registro,junction box,utilities,abrir la caja de registro; revisar la caja de registro; cerrar la caja de registro; instalar la caja de registro
el portalámparas,lampholder,utilities,cambiar el portalámparas; instalar el portalámparas; conectar el portalámparas; ajustar el portalámparas
la bombilla LED,LED bulb,utilities,cambiar la bombilla LED; comprar la bombilla LED; enroscar la bombilla LED; instalar la bombilla LED
el termostato,thermostat,utilities,programar el termostato; ajustar el termostato; regular el termostato
el radiador,radiator,utilities,purgar el radiador; encender el radiador; reparar el radiador
la caldera,boiler,utilities,revisar la caldera; encender la caldera; reparar la caldera
